,i,j,Lon,Lat,SL,UC,Code,Error
28590998,3399,2753,113.283333333333,-1.75,99999.0,-65.936259070106,121,100
28590999,3400,2753,113.316666666667,-1.75,99999.0,-66.2506439703816,121,100
28591000,3401,2753,113.35,-1.75,99999.0,-66.578116429058,121,100
28591001,3402,2753,113.383333333333,-1.75,99999.0,-66.8087171745779,121,100
28591002,3403,2753,113.416666666667,-1.75,99999.0,-66.7889953896558,121,100
28591003,3404,2753,113.45,-1.75,99999.0,-66.2965961431777,121,100
28591004,3405,2753,113.483333333333,-1.75,99999.0,-65.1243833435395,121,100
28591005,3406,2753,113.516666666667,-1.75,99999.0,-63.259964300962,121,100
28591006,3407,2753,113.55,-1.75,99999.0,-60.8982672056107,121,100
28591007,3408,2753,113.583333333333,-1.75,99999.0,-58.2611252201119,121,100
28591008,3409,2753,113.616666666667,-1.75,99999.0,-55.49075732087,121,100
28591009,3410,2753,113.65,-1.75,99999.0,-52.6790895486046,121,100
28591010,3411,2753,113.683333333333,-1.75,99999.0,-49.9114485884029,121,100
28591011,3412,2753,113.716666666667,-1.75,99999.0,-47.2716674490613,121,100
28591012,3413,2753,113.75,-1.75,99999.0,-44.8504015271061,121,100
28601792,3393,2752,113.083333333333,-1.71666666666667,99999.0,-75.3874970797888,121,100
28601793,3394,2752,113.116666666667,-1.71666666666667,99999.0,-71.3132378423372,121,100
28601794,3395,2752,113.15,-1.71666666666667,99999.0,-68.490875676785,121,100
28601795,3396,2752,113.183333333333,-1.71666666666667,99999.0,-66.9302948274202,121,100
28601796,3397,2752,113.216666666667,-1.71666666666667,99999.0,-66.2603973503325,121,100
28601797,3398,2752,113.25,-1.71666666666667,99999.0,-66.0883512365826,121,100
28601798,3399,2752,113.283333333333,-1.71666666666667,99999.0,-66.1652149208607,121,100
28601799,3400,2752,113.316666666667,-1.71666666666667,99999.0,-66.3439101011912,121,100
28601800,3401,2752,113.35,-1.71666666666667,99999.0,-66.5214319892347,121,100
28601801,3402,2752,113.383333333333,-1.71666666666667,99999.0,-66.5872640078504,121,100
28601802,3403,2752,113.416666666667,-1.71666666666667,99999.0,-66.3977010441518,121,100
28601803,3404,2752,113.45,-1.71666666666667,99999.0,-65.7847972603549,121,100
28601804,3405,2752,113.483333333333,-1.71666666666667,99999.0,-64.6080848917028,121,100
28601805,3406,2752,113.516666666667,-1.71666666666667,99999.0,-62.8506170661733,121,100
