,i,j,Lon,Lat,SL,UC,Code,Error
26301431,3432,2965,114.383333333333,-8.81666666666666,-16.0383002816313,-14.1371290873816,108,100
26301432,3433,2965,114.416666666667,-8.81666666666666,-10.781440692893,-9.0602213426524,108,100
26301433,3434,2965,114.45,-8.81666666666666,-5.7346755925033,-3.9426734208571,108,100
26301434,3435,2965,114.483333333333,-8.81666666666666,-1.02325653528,1.3243829614166,108,100
26301435,3436,2965,114.516666666667,-8.81666666666666,3.75838093910438,7.06180727451789,108,100
26301436,3437,2965,114.55,-8.81666666666666,10.4152709295864,13.7941362039683,108,100
26301437,3438,2965,114.583333333333,-8.81666666666666,21.3416794318127,21.8248456745561,108,100
26301438,3439,2965,114.616666666667,-8.81666666666666,35.7880583292265,30.5548734564847,108,100
26301439,3440,2965,114.65,-8.81666666666666,49.3322259388155,38.462816309197,108,100
26301440,3441,2965,114.683333333333,-8.81666666666666,58.0159436300292,44.0458350539983,108,100
26301441,3442,2965,114.716666666667,-8.81666666666666,61.0789795698363,46.719316539813,108,100
26301442,3443,2965,114.75,-8.81666666666666,59.9534430186905,46.8218539665986,108,100
26301443,3444,2965,114.783333333333,-8.81666666666666,56.2288306049171,45.0792308648988,108,100
26301444,3445,2965,114.816666666667,-8.81666666666666,50.9427400417813,42.2698369307841,108,100
26301445,3446,2965,114.85,-8.81666666666666,45.3260142100696,39.2306527306045,108,100
26301446,3447,2965,114.883333333333,-8.81666666666666,41.2042814464318,36.8366027309436,108,100
26301447,3448,2965,114.916666666667,-8.81666666666666,40.0069279344683,35.7199219360201,108,100
26301448,3449,2965,114.95,-8.81666666666666,41.5907199914647,35.9662911984402,108,100
26301449,3450,2965,114.983333333333,-8.81666666666666,44.4627551080746,37.1999348594429,108,100
26301450,3451,2965,115.016666666667,-8.81666666666666,48.0833096876873,38.9818546019711,108,100
26301451,3452,2965,115.05,-8.81666666666666,52.0562405360216,40.9463424398541,108,100
26301452,3453,2965,115.083333333333,-8.81666666666666,55.4621659145834,42.851832073973,108,100
26301453,3454,2965,115.116666666667,-8.81666666666666,59.3086380845835,44.7368834378445,108,100
26301454,3455,2965,115.15,-8.81666666666666,64.4071127150216,46.6544770232337,108,100
26301455,3456,2965,115.183333333333,-8.81666666666666,70.1298889436623,48.2713221349362,108,100
26301456,3457,2965,115.216666666667,-8.81666666666666,75.2540271908679,48.7080702560146,108,100
26301457,3458,2965,115.25,-8.81666666666666,76.5321045347413,46.6210564831919,108,100
26301458,3459,2965,115.283333333333,-8.81666666666666,69.9557664545326,40.950524307382,108,100
26301459,3460,2965,115.316666666667,-8.81666666666666,54.8073790413543,32.0029699504077,108,100
26301460,3461,2965,115.35,-8.81666666666666,35.8764431679527,21.5986508566458,108,100
26301461,3462,2965,115.383333333333,-8.81666666666666,19.8151469675138,11.9062495844358,108,100
26301462,3463,2965,115.416666666667,-8.81666666666666,9.327893707757,4.1551953285772,108,100
26301463,3464,2965,115.45,-8.81666666666666,3.2542528467574,-1.5526970919138,108,100
26301464,3465,2965,115.483333333333,-8.81666666666666,0.0349805074529002,-5.6599595628383,108,100
26301465,3466,2965,115.516666666667,-8.81666666666666,-1.3871129760077,-8.7354090811395,108,100
26301466,3467,2965,115.55,-8.81666666666666,-2.0418797550922,-11.3665416219871,108,100
26301467,3468,2965,115.583333333333,-8.81666666666666,-2.8149068074683,-14.1876639088004,108,100
26301468,3469,2965,115.616666666667,-8.81666666666666,-4.9609215244486,-17.9507744298638,108,100
26301469,3470,2965,115.65,-8.81666666666666,-10.4088612410798,-23.3626840342327,108,100
26301470,3471,2965,115.683333333333,-8.81666666666666,-19.8481909535528,-30.6553347097122,108,100
26301471,3472,2965,115.716666666667,-8.81666666666666,-31.9259410174785,-39.4570654111531,108,100
26301472,3473,2965,115.75,-8.81666666666666,-44.8630452661797,-49.1359742233028,108,100
26301473,3474,2965,115.783333333333,-8.81666666666666,-57.6389033613323,-59.1170338159582,108,100
26301474,3475,2965,115.816666666667,-8.81666666666666,-69.9096794100192,-68.9552480527836,108,100
26301475,3476,2965,115.85,-8.81666666666666,-81.6374356945643,-78.2968070061227,108,100
26301476,3477,2965,115.883333333333,-8.81666666666666,-92.3712713012565,-86.8139120612663,108,100
26312231,3432,2964,114.383333333333,-8.78333333333333,-1.7868645701926,-1.2761090417468,108,100
26312232,3433,2964,114.416666666667,-8.78333333333333,3.7136300414851,4.0453565973971,108,100
26312233,3434,2964,114.45,-8.78333333333333,9.3782095646483,9.5884786167717,108,100
26312234,3435,2964,114.483333333333,-8.78333333333333,15.3430216123649,15.5083510520054,108,100
26312235,3436,2964,114.516666666667,-8.78333333333333,22.1010026429385,22.1200582810602,108,100
26312236,3437,2964,114.55,-8.78333333333333,31.2629619064808,29.8705388364913,108,100
26312237,3438,2964,114.583333333333,-8.78333333333333,44.6158051956587,38.9126994838609,108,100
26312238,3439,2964,114.616666666667,-8.78333333333333,61.083668783864,48.4577209292489,108,100
26312239,3440,2964,114.65,-8.78333333333333,75.7212881206529,56.7391241572008,108,100
26312240,3441,2964,114.683333333333,-8.78333333333333,83.4611039740427,62.0609355573707,108,100
26312241,3442,2964,114.716666666667,-8.78333333333333,83.9653927818267,63.9708244240766,108,100
26312242,3443,2964,114.75,-8.78333333333333,80.3468984029224,63.2016204141849,108,100
26312243,3444,2964,114.783333333333,-8.78333333333333,75.0474633198116,60.7908805407872,108,100
26312244,3445,2964,114.816666666667,-8.78333333333333,69.1360338826552,57.6058903250209,108,100
26312245,3446,2964,114.85,-8.78333333333333,63.5161002989679,54.3834475351634,108,100
26312246,3447,2964,114.883333333333,-8.78333333333333,59.3661529347522,51.7719088499618,108,100
26312247,3448,2964,114.916666666667,-8.78333333333333,57.3807056856335,50.2024904998326,108,100
26312248,3449,2964,114.95,-8.78333333333333,57.5671131118367,49.7860534851963,108,100
26312249,3450,2964,114.983333333333,-8.78333333333333,59.2934271830421,50.3648422573517,108,100
26312250,3451,2964,115.016666666667,-8.78333333333333,62.2704402267091,51.6734629609228,108,100
26312251,3452,2964,115.05,-8.78333333333333,66.1135646653227,53.3762846441116,108,100
26312252,3453,2964,115.083333333333,-8.78333333333333,69.555659293359,55.1284423104358,108,100
26312253,3454,2964,115.116666666667,-8.78333333333333,72.7548370991985,56.8276999013334,108,100
26312254,3455,2964,115.15,-8.78333333333333,76.8213306919173,58.4917773817265,108,100
26312255,3456,2964,115.183333333333,-8.78333333333333,81.426386835767,59.8114564491719,108,100
26312256,3457,2964,115.216666666667,-8.78333333333333,85.2754349252497,59.969188301738,108,100
26312257,3458,2964,115.25,-8.78333333333333,85.604074926287,57.7774759781232,108,100
26312258,3459,2964,115.283333333333,-8.78333333333333,78.8327499352184,52.4076746247141,108,100
26312259,3460,2964,115.316666666667,-8.78333333333333,65.4697013984113,44.3112953553003,108,100
26312260,3461,2964,115.35,-8.78333333333333,50.0343259547239,35.0155391889669,108,100
26312261,3462,2964,115.383333333333,-8.78333333333333,36.4799704123644,26.0899562455209,108,100
26312262,3463,2964,115.416666666667,-8.78333333333333,26.3930577292151,18.4945940834035,108,100
26312263,3464,2964,115.45,-8.78333333333333,19.8278446077065,12.51544015935,108,100
26312264,3465,2964,115.483333333333,-8.78333333333333,16.0240191427891,7.9492513032627,108,100
26312265,3466,2964,115.516666666667,-8.78333333333333,13.6277729116296,4.3378012134349,108,100
26312266,3467,2964,115.55,-8.78333333333333,11.9154046189591,1.1868717133498,108,100
26312267,3468,2964,115.583333333333,-8.78333333333333,10.3309629708544,-2.0183037544557,108,100
26312268,3469,2964,115.616666666667,-8.78333333333333,7.8054898354518,-5.8707705875428,108,100
26312269,3470,2964,115.65,-8.78333333333333,3.3658090864656,-10.9142310862019,108,100
26312270,3471,2964,115.683333333333,-8.78333333333333,-3.4805599724652,-17.4630916813098,108,100
26312271,3472,2964,115.716666666667,-8.78333333333333,-12.945501992871,-25.5846892570558,108,100
26312272,3473,2964,115.75,-8.78333333333333,-25.1321456658048,-35.1201604221442,108,100
26312273,3474,2964,115.783333333333,-8.78333333333333,-39.1657068246575,-45.5893968717953,108,100
26312274,3475,2964,115.816666666667,-8.78333333333333,-53.3729912329088,-56.2577946619256,108,100
26312275,3476,2964,115.85,-8.78333333333333,-66.53216190069,-66.4126259608572,108,100
26312276,3477,2964,115.883333333333,-8.78333333333333,-77.9502292977354,-75.5516813051309,108,100
26323031,3432,2963,114.383333333333,-8.75,11.9468894953018,11.2937911185599,108,100
26323032,3433,2963,114.416666666667,-8.75,18.0031784889804,16.9704221272012,108,100
26323033,3434,2963,114.45,-8.75,24.653822721537,23.0553395864867,108,100
26323034,3435,2963,114.483333333333,-8.75,32.1159591534872,29.7126608869131,108,100
26323035,3436,2963,114.516666666667,-8.75,41.0053027545281,37.2071474402834,108,100
26323036,3437,2963,114.55,-8.75,52.4714296560922,45.8317949022691,108,100
26323037,3438,2963,114.583333333333,-8.75,67.4070564144072,55.5497360037802,108,100
26323038,3439,2963,114.616666666667,-8.75,85.0236110051625,65.4847626131464,108,100
26323039,3440,2963,114.65,-8.75,100.378029254851,73.7965254353308,108,100
26323040,3441,2963,114.683333333333,-8.75,106.922502604797,78.6914642354523,108,100
26323041,3442,2963,114.716666666667,-8.75,104.731070335787,79.8480489432614,108,100
26323042,3443,2963,114.75,-8.75,98.8194853585534,78.3254183579852,108,100
26323043,3444,2963,114.783333333333,-8.75,92.196625855346,75.3797053985936,108,100
26323044,3445,2963,114.816666666667,-8.75,85.8411085686138,71.9061502495095,108,100
26323045,3446,2963,114.85,-8.75,80.3644548385494,68.520571843202,108,100
26323046,3447,2963,114.883333333333,-8.75,76.2274885442091,65.6572477124134,108,100
26323047,3448,2963,114.916666666667,-8.75,73.418977503083,63.5900942402423,108,100
26323048,3449,2963,114.95,-8.75,72.0902584245856,62.483983786837,108,100
26323049,3450,2963,114.983333333333,-8.75,72.5972263115637,62.3742915680655,108,100
26323050,3451,2963,115.016666666667,-8.75,74.7417540458126,63.110473316177,108,100
26323051,3452,2963,115.05,-8.75,78.08712253401,64.3743858377806,108,100
26323052,3453,2963,115.083333333333,-8.75,81.1957496423761,65.7485020126331,108,100
26323053,3454,2963,115.116666666667,-8.75,83.284365812186,66.9941234543314,108,100
26323054,3455,2963,115.15,-8.75,85.8862245104424,68.1005376940888,108,100
26323055,3456,2963,115.183333333333,-8.75,89.3124759232139,68.8205134109408,108,100
26323056,3457,2963,115.216666666667,-8.75,92.270788175971,68.4252165646498,108,100
26323057,3458,2963,115.25,-8.75,91.145614512467,65.8814899497138,108,100
26323058,3459,2963,115.283333333333,-8.75,82.8246360875857,60.6955802465576,108,100
26323059,3460,2963,115.316666666667,-8.75,71.4634851235595,53.6237370497372,108,100
26323060,3461,2963,115.35,-8.75,61.2148393329385,45.8446204944151,108,100
26323061,3462,2963,115.383333333333,-8.75,51.389161318453,38.1308726116822,108,100
26323062,3463,2963,115.416666666667,-8.75,42.2050971613086,31.0393186658069,108,100
26323063,3464,2963,115.45,-8.75,35.092028674526,24.9759677908647,108,100
26323064,3465,2963,115.483333333333,-8.75,30.3637840955826,19.9934689908769,108,100
26323065,3466,2963,115.516666666667,-8.75,26.9232118126311,15.8204113644553,108,100
26323066,3467,2963,115.55,-8.75,24.2185936067467,12.11424743971,108,100
26323067,3468,2963,115.583333333333,-8.75,22.1169667580916,8.5097219515776,108,100
26323068,3469,2963,115.616666666667,-8.75,19.6510367498686,4.5521482791426,108,100
