i,j,Lon,Lat,SL,UC,Code,Error
3394,2923,"113,1166667","-7,416666667","211,8962052","195,7260276",13,212
3395,2923,"113,15","-7,416666667","223,223707","204,9231928",13,212
3396,2923,"113,1833333","-7,416666667","233,1307342","213,2142671",13,212
3316,2922,"110,5166667","-7,383333333","20,81006185","15,48401185",13,212
3317,2922,"110,55","-7,383333333","24,78340839","19,31143839",13,212
3318,2922,"110,5833333","-7,383333333","29,69596594","24,07825594",13,212
3319,2922,"110,6166667","-7,383333333","31,68275212","25,91991212",13,212
3320,2922,"110,65","-7,383333333","33,04774548","27,14081548",13,212
3321,2922,"110,6833333","-7,383333333","34,64883009","28,59926009",13,212
3322,2922,"110,7166667","-7,383333333","37,13303897","30,94272897",13,212
3323,2922,"110,75","-7,383333333","41,82646611","35,49770611",13,212
3324,2922,"110,7833333","-7,383333333","49,27878742","42,81431742",13,212
3325,2922,"110,8166667","-7,383333333","60,87169612","54,27467612",13,212
3326,2922,"110,85","-7,383333333","77,8257113","71,0996913",13,212
3327,2922,"110,8833333","-7,383333333","96,46580317","89,61476317",13,212
3328,2922,"110,9166667","-7,383333333","111,0473125","104,0756125",13,212
3329,2922,"110,95","-7,383333333","122,4985069","115,4108769",13,212
3330,2922,"110,9833333","-7,383333333","137,7580535","130,5596135",13,212
3331,2922,"111,0166667","-7,383333333","159,397774","152,093994",13,212
3332,2922,"111,05","-7,383333333","184,7892047","177,3858947",13,212
3333,2922,"111,0833333","-7,383333333","211,6322333","204,1355333",13,212
3334,2922,"111,1166667","-7,383333333","235,7708343","228,1871843",13,212
3335,2922,"111,15","-7,383333333","250,6945295","243,0306595",13,212
3336,2922,"111,1833333","-7,383333333","253,2205731","245,4834731",13,212
3337,2922,"111,2166667","-7,383333333","246,0187462","238,2156562",13,212
3338,2922,"111,25","-7,383333333","234,5599233","226,6983233",13,212
3339,2922,"111,2833333","-7,383333333","224,3804459","216,4679759",13,212
3340,2922,"111,3166667","-7,383333333","219,6383094","211,6828294",13,212
3341,2922,"111,35","-7,383333333","220,9944291","213,0039091",13,212
3342,2922,"111,3833333","-7,383333333","226,2513561","218,2339261",13,212
3343,2922,"111,4166667","-7,383333333","233,0743511","225,0382211",13,212
3344,2922,"111,45","-7,383333333","239,3654733","231,3189233",13,212
3345,2922,"111,4833333","-7,383333333","243,8447715","235,7961515",13,212
3346,2922,"111,5166667","-7,383333333","248,2683178","240,2259678",13,212
3347,2922,"111,55","-7,383333333","255,0949364","247,0672164",13,212
3348,2922,"111,5833333","-7,383333333","264,0050423","256,0002623",13,212
3349,2922,"111,6166667","-7,383333333","273,5037456","265,5301756",13,212
3350,2922,"111,65","-7,383333333","282,2119321","274,2777321",13,212
3351,2922,"111,6833333","-7,383333333","287,6419112","279,7551512",13,212
3352,2922,"111,7166667","-7,383333333","287,8252354","279,9938554",13,212
3353,2922,"111,75","-7,383333333","284,2928333","276,5245933",13,212
3354,2922,"111,7833333","-7,383333333","279,5681181","271,8705981",13,212
3355,2922,"111,8166667","-7,383333333","274,9677857","267,3483657",13,212
3356,2922,"111,85","-7,383333333","271,4652448","263,9310748",13,212
3357,2922,"111,8833333","-7,383333333","269,1923237","261,7503137",13,212
3358,2922,"111,9166667","-7,383333333","266,8585358","259,5152958",13,212
3359,2922,"111,95","-7,383333333","262,4771051","255,2389951",13,212
3360,2922,"111,9833333","-7,383333333","256,1061586","248,9791986",13,212
3361,2922,"112,0166667","-7,383333333","250,1687522","243,1586422",13,212
3362,2922,"112,05","-7,383333333","244,7145087","237,8266287",13,212
3363,2922,"112,0833333","-7,383333333","239,1302439","232,3696039",13,212
3364,2922,"112,1166667","-7,383333333","236,5901313","229,9613813",13,212
3365,2922,"112,15","-7,383333333","240,3754159","233,8828259",13,212
3366,2922,"112,1833333","-7,383333333","249,738176","243,385626",13,212
3367,2922,"112,2166667","-7,383333333","261,5060668","255,2970468",13,212
3368,2922,"112,25","-7,383333333","272,8297975","266,7673975",13,212
3369,2922,"112,2833333","-7,383333333","282,8251325","276,9120325",13,212
3370,2922,"112,3166667","-7,383333333","292,4909772","286,7294371",13,212
3371,2922,"112,35","-7,383333333","302,0614257","296,4533057",13,212
3372,2922,"112,3833333","-7,383333333","310,8855769","305,4323269",13,212
3373,2922,"112,4166667","-7,383333333","316,9986672","311,7013172",13,212
3374,2922,"112,45","-7,383333333","319,109535","313,968705",13,212
3375,2922,"112,4833333","-7,383333333","318,3546066","313,3705066",13,212
3376,2922,"112,5166667","-7,383333333","314,7505673","309,9230173",13,212
3377,2922,"112,55","-7,383333333","307,1487503","302,4771703",13,212
3378,2922,"112,5833333","-7,383333333","296,4426212","291,9260512",13,212
3379,2922,"112,6166667","-7,383333333","284,7393118","280,3764118",13,212
3380,2922,"112,65","-7,383333333","273,8356246","269,6247046",13,212
3381,2922,"112,6833333","-7,383333333","265,4161115","261,3551015",13,212
3382,2922,"112,7166667","-7,383333333","259,6377218","255,7242218",13,212
3383,2922,"112,75","-7,383333333","255,1309904","251,3622904",13,212
3384,2922,"112,7833333","-7,383333333","250,2492913","246,6223513",13,212
3385,2922,"112,8166667","-7,383333333","243,0399006","239,5052644",13,212
3386,2922,"112,85","-7,383333333","231,9380064","228,3201783",13,212
3387,2922,"112,8833333","-7,383333333","217,8297926","213,8562971",13,212
3388,2922,"112,9166667","-7,383333333","204,8180474","200,1666126",13,212
3389,2922,"112,95","-7,383333333","197,2154172","191,5630662",13,212
3390,2922,"112,9833333","-7,383333333","195,3066925","188,6479534",13,212
3391,2922,"113,0166667","-7,383333333","198,088974","190,0239752",13,212
3392,2922,"113,05","-7,383333333","205,1397444","194,5190264",13,212
3393,2922,"113,0833333","-7,383333333","213,5843877","200,7530937",13,212
3394,2922,"113,1166667","-7,383333333","222,0667037","208,0945716",13,212
3395,2922,"113,15","-7,383333333","229,6482437","215,3807275",13,212
3316,2921,"110,5166667","-7,35","17,71379485","12,46067485",13,212
3317,2921,"110,55","-7,35","19,28338629","13,88196629",13,212
3318,2921,"110,5833333","-7,35","22,79309708","17,24336708",13,212
3319,2921,"110,6166667","-7,35","28,01866014","22,32105014",13,212
3320,2921,"110,65","-7,35","36,76875442","30,92413442",13,212
3321,2921,"110,6833333","-7,35","43,03710852","37,04677852",13,212
3322,2921,"110,7166667","-7,35","45,31181498","39,17751498",13,212
3323,2921,"110,75","-7,35","47,79565536","41,51955536",13,212
3324,2921,"110,7833333","-7,35","53,32537285","46,91007285",13,212
3325,2921,"110,8166667","-7,35","63,78287952","57,23140952",13,212
3326,2921,"110,85","-7,35","80,41279105","73,72860105",13,212
3327,2921,"110,8833333","-7,35","100,5522331","93,73920308",13,212
3328,2921,"110,9166667","-7,35","119,0898319","112,1522419",13,212
3329,2921,"110,95","-7,35","135,3538281","128,2963581",13,212
3330,2921,"110,9833333","-7,35","154,0590908","146,8867808",13,212
3331,2921,"111,0166667","-7,35","176,5491225","169,2674025",13,212
3332,2921,"111,05","-7,35","199,2890073","191,9036373",13,212
3333,2921,"111,0833333","-7,35","219,6013938","212,1184938",13,212
3334,2921,"111,1166667","-7,35","235,4567469","227,8827669",13,212
3335,2921,"111,15","-7,35","244,1320417","236,4736817",13,212
3336,2921,"111,1833333","-7,35","243,1730095","235,4372995",13,212
3337,2921,"111,2166667","-7,35","234,5620083","226,7561983",13,212
3338,2921,"111,25","-7,35","224,4898268","216,6214268",13,212
3339,2921,"111,2833333","-7,35","218,7050532","210,7817632",13,212
3340,2921,"111,3166667","-7,35","219,0810058","211,1107258",13,212
3341,2921,"111,35","-7,35","222,412195","214,402975",13,212
3342,2921,"111,3833333","-7,35","224,6588048","216,6188348",13,212
3343,2921,"111,4166667","-7,35","225,1423074","217,0798974",13,212
3344,2921,"111,45","-7,35","224,8577669","216,7813069",13,212
3345,2921,"111,4833333","-7,35","224,4038038","216,3217238",13,212
3346,2921,"111,5166667","-7,35","225,2317943","217,1525843",13,212
3347,2921,"111,55","-7,35","228,5535607","220,4856807",13,212
3348,2921,"111,5833333","-7,35","234,1430832","226,0949832",13,212
3349,2921,"111,6166667","-7,35","240,9358432","232,9159332",13,212
3350,2921,"111,65","-7,35","247,486421","239,503001",13,212
3351,2921,"111,6833333","-7,35","251,6748098","243,7361098",13,212
3352,2921,"111,7166667","-7,35","252,6101016","244,7242116",13,212
3353,2921,"111,75","-7,35","253,1429454","245,3177854",13,212
3354,2921,"111,7833333","-7,35","254,5143511","246,7576911",13,212
3355,2921,"111,8166667","-7,35","253,228304","245,547694",13,212
3356,2921,"111,85","-7,35","247,6487874","240,0515474",13,212
3357,2921,"111,8833333","-7,35","240,993238","233,486438",13,212
3358,2921,"111,9166667","-7,35","236,1525639","228,7430239",13,212
3359,2921,"111,95","-7,35","232,0802189","224,7744589",13,212
3360,2921,"111,9833333","-7,35","227,2126249","220,0168649",13,212
3361,2921,"112,0166667","-7,35","222,5596293","215,4797493",13,212
3362,2921,"112,05","-7,35","219,2331811","212,2747411",13,212
3363,2921,"112,0833333","-7,35","217,2175234","210,3857334",13,212
3364,2921,"112,1166667","-7,35","218,4097995","211,7094895",13,212
3365,2921,"112,15","-7,35","225,182588","218,618208",13,212
3366,2921,"112,1833333","-7,35","236,2885696","229,8641696",13,212
3367,2921,"112,2166667","-7,35","248,2715081","241,9907681",13,212
3368,2921,"112,25","-7,35","258,8382937","252,7044737",13,212
3369,2921,"112,2833333","-7,35","267,5719918","261,5879418",13,212
3370,2921,"112,3166667","-7,35","275,190363","269,358513",13,212
3371,2921,"112,35","-7,35","281,6806259","276,0030059",13,212
3372,2921,"112,3833333","-7,35","287,5165376","281,9947476",13,212
3373,2921,"112,4166667","-7,35","291,2100202","285,8452402",13,212
3374,2921,"112,45","-7,35","291,2640568","286,0570568",13,212
3375,2921,"112,4833333","-7,35","289,3300515","284,2811815",13,212
3376,2921,"112,5166667","-7,35","285,4960992","280,6053292",13,212
3377,2921,"112,55","-7,35","279,4533591","274,7202291",13,212
3378,2921,"112,5833333","-7,35","273,153695","268,577355",13,212
3379,2921,"112,6166667","-7,35","267,7928914","263,3721414",13,212
3380,2921,"112,65","-7,35","262,9497746","258,6830046",13,212
3381,2921,"112,6833333","-7,35","259,2192479","255,1045079",13,212
3382,2921,"112,7166667","-7,35","256,8220811","252,8570711",13,212
3383,2921,"112,75","-7,35","254,4802901","250,6623901",13,212
3384,2921,"112,7833333","-7,35","250,433235","246,759475",13,212
3385,2921,"112,8166667","-7,35","242,8421351","239,2773448",13,212
3386,2921,"112,85","-7,35","230,8093378","227,2305992",13,212
3387,2921,"112,8833333","-7,35","216,3909014","212,6381853",13,212
3388,2921,"112,9166667","-7,35","203,9072948","199,8112738",13,212
3389,2921,"112,95","-7,35","197,3166283","192,6086431",13,212
3390,2921,"112,9833333","-7,35","197,0810535","191,6967475",13,212
3391,2921,"113,0166667","-7,35","200,6052034","195,0498731",13,212
3392,2921,"113,05","-7,35","207,205509","200,6646131",13,212
3393,2921,"113,0833333","-7,35","216,60827","207,0233233",13,212
3394,2921,"113,1166667","-7,35","224,6665618","212,9334344",13,212
3395,2921,"113,15","-7,35","229,3072969","217,5471406",13,212
3316,2920,"110,5166667","-7,316666667","20,90197166","15,73538166",13,212
3317,2920,"110,55","-7,316666667","18,40295198","13,08599198",13,212
3318,2920,"110,5833333","-7,316666667","21,16751276","15,69999276",13,212
3319,2920,"110,6166667","-7,316666667","25,90621223","20,28839223",13,212
3320,2920,"110,65","-7,316666667","35,357079","29,589649",13,212
3321,2920,"110,6833333","-7,316666667","43,58889796","37,67299796",13,212
3322,2920,"110,7166667","-7,316666667","47,58102561","41,51823561",13,212
3323,2920,"110,75","-7,316666667","50,83540221","44,62775221",13,212
